n	R
276	18.120473961
277	18.157336712
278	18.192682799
279	18.230704055
280	18.258210517
281	18.294721788
282	18.326222828
283	18.361639543
284	18.391228466
285	18.422512611
286	18.442830692
287	18.487206062
288	18.512315088
289	18.538916067
290	18.578779879
291	18.579015097
292	18.618649116
293	18.652180412
294	18.670262564
295	18.696864104
296	18.724221352
297	18.748989727
298	18.773038081
299	18.802268464
300	18.834580457
301	18.862564794
302	18.904934306
303	18.943761889
304	18.983864821
305	19.02270381
306	19.046542913
307	19.074648767
308	19.124908158
309	19.162215222
310	19.194346603
311	19.236714537
312	19.25682952
313	19.295013318
314	19.310485618
315	19.342300995
316	19.369583001
317	19.390007435
318	19.415078172
319	19.449320086
320	19.467731025
321	19.503658897
322	19.543145115
323	19.569675342
324	19.594143394
325	19.61732796
326	19.642751214
327	19.667870382
328	19.694405258
329	19.724606644
330	19.74746945
331	19.775424917
332	19.809148491
333	19.839888003
334	19.868216697
335	19.902798189
336	19.933485702
337	19.969438582
338	20.006135815
339	20.040674028
340	20.079185524
341	20.098688424
342	20.118191805
343	20.155329949
344	20.180051768
345	20.215822144
346	20.245431167
347	20.243970077
348	20.251799204
349	20.312501438
350	20.347819045
351	20.355600318
352	20.390056312
353	20.411156665
354	20.435165222
355	20.456295574
356	20.494228781
357	20.513746566
358	20.546395525
359	20.581982778
360	20.604778044
361	20.620966844
362	20.658837076
363	20.685942384
364	20.71340051
365	20.74357929
366	20.762854547
367	20.792758723
368	20.838485156
369	20.872943609
370	20.912095812
371	20.944629673
372	20.972876666
373	20.997661351
374	21.032657807
375	21.06775886
376	21.080942826
377	21.08716879
378	21.117800415
379	21.138999183
380	21.163968806
381	21.189907868
382	21.231104715
383	21.249224743
384	21.287117171
385	21.315079148
386	21.328587179
387	21.368278746
388	21.39234726
389	21.409539471
390	21.441382009
391	21.471151944
392	21.495020174
393	21.52258381
394	21.543249374
395	21.572914464
396	21.598779004
397	21.629715404
398	21.657863657
399	21.680563773
400	21.709297829
401	21.730787056
402	21.754264504
403	21.792643526
404	21.823097337
405	21.86123943
406	21.887945611
407	21.909445635
408	21.937737863
409	21.9457691
410	21.967220413
411	21.996570005
412	22.007505529
413	22.057662051
414	22.040751083
415	22.061544491
416	22.0885572
417	22.1026819
418	22.115996709
419	22.144149971
420	22.184363007
421	22.189276172
422	22.249071485
423	22.280661449
424	22.30736694
425	22.33669476
426	22.364945772
427	22.394108438
428	22.41916212
429	22.442356579
430	22.476840732
431	22.510556473
432	22.542989791
433	22.57733722
434	22.601843691
435	22.627080696
436	22.646342525
437	22.683791452
438	22.706485867
439	22.727921105
440	22.755356005
441	22.779540532
442	22.811686152
443	22.825925953
444	22.841797715
445	22.869821867
446	22.89494054
447	22.922930817
448	22.936418964
449	22.955823987
450	22.992632258
451	23.01100207
452	23.039995103
453	23.036937337
454	23.082052065
455	23.098027489
456	23.129159446
457	23.14695885
458	23.181697909
459	23.21079455
460	23.238577901
461	23.264531891
462	23.273746254
463	23.307866953
464	23.339284647
465	23.370522133
466	23.39871152
467	23.420897669
468	23.444678203
469	23.47194843
470	23.493043018
471	23.524441072
472	23.550557919
473	23.573163747
474	23.60129892
475	23.623655455
476	23.652681479
477	23.671920577
478	23.70106082
479	23.699845579
480	23.700349372
481	23.73144445
482	23.734795181
483	23.75047435
484	23.795083989
485	23.810439774
486	23.825012433
487	23.848321914
488	23.865041073
489	23.878433499
490	23.914602917
491	23.936648048
492	23.96274072
493	23.961287755
494	23.998834967
495	24.025577557
496	24.035258336
497	24.068699605
498	24.072284509
499	24.077970869
500	24.150666822
501	24.204864259
502	24.236018161
503	24.2572437
504	24.293654587
505	24.314400918
506	24.343375539
507	24.373464952
508	24.397117259
509	24.432069042
510	24.459267281
511	24.488317026
512	24.504673661
513	24.522696476
514	24.553289101
515	24.571167758
516	24.586676904
517	24.604509498
518	24.625036038
519	24.632723368
520	24.656878879
521	24.695732128
522	24.710198634
523	24.734541795
524	24.764176172
525	24.784985221
526	24.798039615
527	24.814260565
528	24.843631927
529	24.864672744
530	24.885940499
531	24.903827993
532	24.927666876
533	24.946360304
534	24.971604661
535	24.997563664
536	25.02194769
537	25.048404514
538	25.07213104
539	25.104227176
540	25.122898244
541	25.147820932
542	25.175759438
543	25.205548016
544	25.234644223
545	25.253221152
546	25.274600464
547	25.298612819
548	25.321552878
549	25.350550088
550	25.376094602
551	25.397028333
552	25.414170345
553	25.438119715
554	25.467317303
555	25.485553065
556	25.468693855
557	25.510271132
558	25.526416163
559	25.548554603
560	25.555710898
561	25.583769927
562	25.580297286
563	25.627090118
564	25.595136664
565	25.667401438
566	25.680179327
567	25.697379052
568	25.716891502
569	25.731416919
570	25.761397183
571	25.760565395
572	25.810546439
573	25.823375031
574	25.839555267
575	25.875362267
576	25.907404619
577	25.927131912
578	25.953205898
579	25.974860726
580	25.994847243
581	26.028159179
582	26.05068922
583	26.065890266
584	26.106001161
585	26.133018506
586	26.180569466
587	26.203972723
588	26.214068152
589	26.23556029
590	26.250171643
591	26.279689287
592	26.301928467
593	26.319411573
594	26.332003407
595	26.363678736
596	26.370939494
597	26.400002299
598	26.420496829
599	26.448839297
600	26.463892956
